鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,X,X.1,X.2,X.3,X.4,Response_X,Response_Y
北屯區,房地(土地+建物),臺中市北屯區北屯路361~390號,24.5,都市：其他:第二種住宅區,,,1090720,土地8建物1車位0,七層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,811110,251.22,0,0,0,無,有,11500000,45777,,0,0,,RPVPMLRJRHPFFBB76DA,182.26,0,46.66,有,,,,,,,219838.595,2675740.423
北屯區,房地(土地+建物),臺中市北屯區松竹路二段74巷1~30號,77.84,都市：其他:市場用地,,,1090707,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,770712,142.89,5,2,2,有,無,14800000,103576,,0,0,其他增建,,RPXNMLOLQHPFFBB56DA,122.8,20.09,0,無,,,,,,219661.01,2675421.555
北區,房地(土地+建物),臺中市北區武昌南街1~30號,17.51,都市：其他:第二種住宅區,,,1090805,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,761002,63.3,2,1,1,有,有,3700000,58452,,0,0,,RPQOMLQLQHPFFBB78DA,45.95,8.82,0,無,95,,,,,,216463.163,2673651.711
北屯區,房地(土地+建物),臺中市北屯區柳陽西街92巷1~30號,5.29,都市：其他:第二種住宅區,,,1090804,土地1建物1車位0,一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,840814,40.22,1,1,2,有,有,3800000,94480,,0,0,陽台外推,夾層,,RPRQMLKKRHPFFBB58EA,27.55,5.57,0,有,,,,,218722.371,2674508.853
北區,房地(土地+建物),臺中市北區五順街241~270號,4.98,都市：其他:第一種商業區,,,1090820,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710419,21.95,1,1,1,有,無,600000,27335,,0,0,,RPQPMLLKRHPFFBB48EA,19.68,0,0,無,,,,,,,217273.958,2671906.081
北區,房地(土地+建物),臺中市北區五順街241~270號,4.98,都市：其他:第一種商業區,,,1090820,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710419,21.95,1,1,1,有,無,600000,27335,,0,0,,RPSPMLLKRHPFFBB68EA,19.68,0,0,無,,,,,,,217273.958,2671906.081
西屯區,房地(土地+建物),臺中市西屯區太原路一段121~150號,2.82,都市：其他:第一種商業區,,,1090831,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820531,36.49,1,1,1,有,有,1850000,50699,,0,0,,RPWSMLKKRHPFFCB66DA,23.02,2.15,0,有,,,,,,,215846.981,2673285.785
北屯區,房地(土地+建物),臺中市北屯區大連路三段151~180號,13.72,都市：其他:第二種住宅區,,,1090808,土地1建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830330,78.48,0,0,0,無,有,6900000,87920,,0,0,其他增建,,RPSQMLOJRHPFFBB88DA,59.55,7.58,0,有,,,,,,219160.812,2674283.034
中區,房地(土地+建物),臺中市中區成功路128巷1~30號,68.46,都市：其他:第二種商業區,,,1090731,土地4建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710826,325.01,10,1,10,有,無,14800000,45537,,0,0,,RPVNMLKKRHPFFAB48DA,267.34,16.11,0,無,181,,,,,,217883.736,2670660.066
西區,房地(土地+建物),臺中市西區梅川東路一段61~90號,6.58,都市：其他:第一種商業區,,,1090804,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,820417,57.86,1,1,1,有,有,4000000,69132,,0,0,,RPORMLKKRHPFFAB18DA,38.13,8.68,0,有,,,,,,,216610.402,2671449.231
西區,房地(土地+建物),臺中市西區梅川西路二段1~30號,5.82,都市：其他:第二種住宅區,,,1090816,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790504,72.41,2,1,1,有,有,3900000,53860,,0,0,,RPRNMLTJRHPFFAB88DA,53.21,0,0,有,,,,,,,216759.139,2671902.086
南屯區,房地(土地+建物),臺中市南屯區大英街601~630號,37.15,都市：其他:第二種住宅區,,,1090721,土地1建物1車位0,一層，騎樓，地下一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,800613,264.59,2,1,2,有,有,24000000,90706,,0,0,,RPUOMLLKRHPFFCB78DA,233.91,7.95,0,有,,,,,,,214277.486,2672292.95
南區,房地(土地+建物),臺中市南區平順街1~30號,29.44,都市：其他:第二種住宅區,,,1090901,土地3建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,671218,101.37,0,1,1,有,無,6560000,64713,,0,0,傢俱設備費:36000元冷氣機含傢俱設備費36000元,含土地增值稅或其他稅費24000元,親友、員工、共有人或其他特殊關係間之交易,,RPSNMLOKRHPFFAB68EA,101.37,0,0,無,,,,215712.583,2668876.45
西區,房地(土地+建物),臺中市西區忠明南路241~270號,31.38,都市：其他:第三種住宅區。,,,1090820,土地1建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,791105,341.21,0,0,0,無,有,10300000,30187,,0,0,,RPUNMLNJRHPFFAB58DA,197.58,53.89,0,有,,,,,,,215220.315,2669959.526
西區,房地(土地+建物),臺中市西區自由路一段91~120號,7.33,都市：其他:第二種商業區,,,1090908,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),商業用,見其他登記事項,790720,97.42,0,0,0,無,有,4250000,43626,,0,0,,RPXPMLOKRHPFFAB66DA,65.36,0,0,有,,,,,,,217452.095,2670275.602
北屯區,房地(土地+建物),臺中市北屯區松文街61~90號,13.74,都市：其他:第二種住宅區,,,1090812,土地1建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830426,86.55,0,0,0,無,有,5800000,67013,,0,0,含仲介費,,RPXPMLRJRHPFFBB96DA,66.14,4.2,0,有,,,,,,218623.038,2675112.21
北屯區,房地(土地+建物),臺中市北屯區雷中街31~60號,43.25,都市：其他:第二種住宅區,,,1090805,土地1建物1車位0,一層，騎樓，地下層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820602,144.55,3,2,1,有,有,7600000,52577,,0,0,,RPVPMLLKRHPFFBB88DA,132.44,0,0,有,314,,,,,,216540.079,2675655.987
大里區,房地(土地+建物),臺中市大里區新義路211~240號,27.25,都市：其他:住宅區,,,1090811,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,680330,78.53,2,1,1,有,無,4680000,59595,,0,0,,RPWOMLPKRHPFFIB37DA,78.53,0,0,無,,,,,,,218555.31,2666529.49
西區,房地(土地+建物),臺中市西區存中街151~180號,46.5,都市：其他:第三種住宅區。,,,1090821,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,670901,102.9,2,1,2,有,無,4000000,38873,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPWQMLRKRHPFFAB07EA,102.9,0,0,無,,,,,,215048.135,2670755.324
南屯區,房地(土地+建物),臺中市南屯區文心路一段361~390號,14.55,都市：其他:第三之一種商業區,,,1090805,土地1建物1車位0,十二層,二十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830825,174.6,3,1,1,有,有,10050000,57560,,0,0,,RPSUMLPKRHPFFCB96DA,106.91,13.95,0,有,,,,,,,214136.005,2672286.234
南區,房地(土地+建物),臺中市南區仁義街31~60號,66,都市：其他:第二種住宅區,,,1090705,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,580203,100.71,4,2,3,有,無,12000000,119154,,0,0,其他增建,,RPVNMLOJQHPFFAB68DA,100.71,0,0,無,,,,,,216493.321,2668986.197
東區,房地(土地+建物),臺中市東區復興路四段138巷1~30號,40,都市：其他:第一種商業區,,,1090829,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,,78.61,3,2,2,有,無,9000000,114489,,0,0,,RPVNMLLLRHPFFAB78EA,78.61,0,0,無,,,,,,,218160.795,2670062.958
北屯區,房地(土地+建物),臺中市北屯區昌平路二段4巷31~60號,16.62,都市：其他:第二種住宅區,,,1090814,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830426,104.12,2,1,1,有,有,8000000,76834,,0,0,,RPTNMLMLRHPFFBB68DA,69.64,10.38,0,有,509,,,,,,218591.752,2674906.166
南屯區,房地(土地+建物),臺中市南屯區文心路一段361~390號,5,都市：其他:第三之一種商業區,,,1090818,土地1建物1車位0,十層,二十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830825,58.38,0,0,0,無,有,3500000,59952,,0,0,,RPOOMLNLRHPFFCB58EA,31.21,10,0,有,,,,,,,214136.005,2672286.234
北區,房地(土地+建物),臺中市北區太原路三段31~60號,23.61,都市：其他:第二種住宅區,,,1090904,土地1建物1車位0,一層，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710925,124.62,2,2,1,有,無,8900000,71417,,0,0,其他增建,,RPVPMLNLRHPFFBB66EA,106.94,6.87,0,無,,,,,,218370.144,2673302.492
南區,房地(土地+建物),臺中市南區崇倫北街27巷1~30號,14.19,都市：其他:市場用地,,,1090810,土地1建物1車位0,一層，二層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,880403,92.69,3,0,2,有,有,6800000,73363,,0,0,,RPVOMLNLRHPFFAB09EA,66.48,4,0,有,,,,,,,215102.595,2669807.387
西區,房地(土地+建物),臺中市西區臺灣大道一段721~750號,10.86,都市：其他:第二種商業區,,,1090903,土地5建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720118,106.19,0,0,0,無,有,2850000,26839,,0,0,含一套衛浴設備,RPQNMLPKRHPFFAB48DA,96.01,0,0,有,628,,,,,,216891.589,2671430.322
西屯區,房地(土地+建物),臺中市西屯區福星路541~570號,19.84,都市：其他:第二種住宅區,,,1090822,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,800206,228.79,9,0,9,有,有,17500000,76489,,0,0,1.其他增建天井.2.因售屋廣告誤登屋齡，賣方同意減少價金新台幣壹拾貳萬元整，雙方另立變更期款協議書.陽台外推,其他增建,,RPWSMLNLRHPFFCB07DA,181.6,30.61,0,有,670,,,,214428.757,2674217.203
西屯區,房地(土地+建物),臺中市西屯區重慶路241~270號,20,都市：其他:第二種住宅區,,,1090723,土地2建物1車位0,一層，騎樓，夾層，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,731231,97.74,0,3,1,有,無,10300000,105382,,0,0,陽台外推,,RPUPMLOLRHPFFCB66DA,92.71,5.03,0,無,735,,,,,216105.136,2674031.143
北區,房地(土地+建物),臺中市北區忠太東路91~120號,29.49,都市：其他:第三種住宅區。,,,1090811,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,760319,128.35,1,2,1,有,有,11700000,91157,,0,0,,RPRPMLOKQHPFFBB68DA,112.56,0,0,無,,,,,,,216701.769,2673297.697
西區,房地(土地+建物),臺中市西區西屯路一段151~180號,33,都市：其他:第二種住宅區,,,1090827,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830922,151.95,7,0,6,有,無,13380000,88055,,0,0,其他增建,,RPTQMLKKRHPFFAB58DA,112.65,13.44,0,有,744,,,,,216470.39,2672153.811
中區,房地(土地+建物),臺中市中區自由路二段121~150號,3.34,都市：其他:第二種商業區,,,1090904,土地2建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼骨混凝土造,680207,29.56,1,1,1,有,有,1560000,52774,,0,0,陽台外推,,RPWNMLSJRHPFFAB66DA,26.01,0,0,有,745,,,,,217896.753,2670811.759
北屯區,房地(土地+建物),臺中市北屯區柳陽西街94巷31~60號,3.94,都市：其他:第二種住宅區,,,1090820,土地1建物1車位0,一層,十六層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,840814,25.95,0,0,0,無,無,3200000,123314,,0,0,夾層,,RPSUMLOLRHPFFBB86DA,20.25,0,0,無,752,,,,,218726.481,2674543.044
西區,房地(土地+建物),臺中市西區華美西街一段121~150號,7.65,都市：其他:第二種住宅區,,,1090721,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830420,77.81,0,0,0,無,有,3500000,44981,,0,0,,RPTNMLOLRHPFFAB88EA,51.07,0,0,有,,,,,,,215723.633,2673119.907
西區,房地(土地+建物),臺中市西區美村路一段121~150號,89,都市：其他:第二之一種商業區,,,1090811,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,610223,117.68,2,2,2,有,無,31800000,270224,,0,0,頂樓加蓋,其他增建,,RPWOMLOKRHPFFAB09DA,117.68,0,0,無,,,,,215561.404,2669779.657
南區,房地(土地+建物),臺中市南區工學二街115巷31~60號,9.47,都市：其他:第三種住宅區。,,,1090818,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,870930,62.03,2,2,1,有,有,4500000,72546,,0,0,夾層,,RPVNMLQKRHPFFAB09DA,48.16,4.48,0,有,844,,,,,215903.863,2667949.464
西區,房地(土地+建物),臺中市西區樂群街361~390號,43.74,都市：其他:第二種商業區,,,1090904,土地1建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,710716,122.04,0,0,0,無,無,8580000,70305,,0,0,其他增建,,RPSUMLPKRHPFFAB76DA,122.04,0,0,無,,,,,,216121.462,2669459.96
中區,房地(土地+建物),臺中市中區成功路241~270號,22.05,都市：其他:第二種商業區,,,1090919,土地2建物1車位0,全,二層,透天厝,商業用,見其他登記事項,581013,111.98,2,1,1,有,無,6200000,55367,,0,0,未登記建物,,RPWNMLTLRHPFFAB96DA,111.98,0,0,無,,,,,,217165.608,2671252.572
北屯區,房地(土地+建物),臺中市北屯區北屯路421~450號,161,都市：其他:第二種住宅區,,,1090605,土地2建物1車位0,全,五層,透天厝,商業用,鋼筋混凝土加強磚造,620530,724.5,8,4,8,有,無,25500000,35197,,0,0,頂樓加蓋,其他增建,,RPPRMLSLRHPFFBB66DA,724.5,0,0,無,,,,,219838.595,2675740.423
西屯區,房地(土地+建物),臺中市西屯區逢甲路19巷1~30號,51.36,都市：其他:第二種住宅區,,,1090812,土地3建物1車位0,地下層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,801220,257.73,4,1,1,有,有,11400000,44232,,0,0,,RPPQMLNLRHPFFCB88EA,216.65,0,0,有,,,,,,,214028.481,2674782.626
潭子區,房地(土地+建物),臺中市潭子區潭子街一段31巷1~30號,20.26,都市：其他:住宅區,,,1090828,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,801216,78.22,1,1,1,有,無,5100000,65201,,0,0,,RPVNMLKMRHPFFHB86EA,66.58,11.64,0,無,887,,,,,,220184.711,2678786.719
北屯區,房地(土地+建物),臺中市北屯區文昌東十一街31~60號,87.26,都市：其他:第三種住宅區。,,,1090824,土地1建物1車位0,地下一層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,800130,771.94,0,0,0,無,有,12700000,16452,,0,0,,RPOPMLKMRHPFFBB28DA,724.16,0,0,有,916,,,,,,218900.152,2673732.966
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.17,都市：其他:第二種住宅區,,,1090825,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,43.58,1,0,1,有,有,2590000,59431,,0,0,,RPPPMLSLQHPFFBB98DA,26.46,3.29,0,有,,,,,,,217624.958,2674567.754
南區,房地(土地+建物),臺中市南區福新街1~30號,108,都市：其他:第二種住宅區,,,1090817,土地1建物5車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,691204,402.07,10,1,5,有,無,20000000,49743,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPXOMLKMRHPFFAB98DA,402.07,0,0,無,,,,,,216303.261,2668762.291
西區,房地(土地+建物),臺中市西區民生路91~120號,27.15,都市：其他:第二種商業區,,,1090724,土地1建物2車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830419,373.34,0,0,0,無,有,9010000,24133,,0,0,,RPOOMLPJIIPFFAB47DA,316.69,17.54,0,有,,,,,,,215199.614,2671030.054
北區,房地(土地+建物),臺中市北區東成三街211~240號,14.07,都市：其他:第二種住宅區,,,1090811,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820904,69.69,0,0,0,無,有,3600000,51657,,0,0,,RPVOMLMJRHPFFBB78DA,56.95,2.97,0,有,,,,,,,219731.13,2672652.685
北區,房地(土地+建物),臺中市北區太原路一段181~210號,11.94,都市：其他:第二種住宅區,,,1090904,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,800412,64.53,2,2,1,有,無,4050000,62762,,0,0,陽台外推,其他增建,,RPTRMLOLRHPFFBB66DA,41.61,9.33,0,有,932,,,,216818.739,2673309.566
豐原區,房地(土地+建物),臺中市豐原區中正路167巷1~30號,169,都市：其他:第二種商業區,,,1090810,土地2建物8車位0,全,四層,透天厝,商業用,鋼筋混凝土造,920122,441.35,1,6,6,有,無,78000000,176730,,0,0,市場攤位,,RPPOMLTLRHPFFDB76EA,304.37,0,0,無,,,,,,221509.04,2682840.689
