鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,X,X.1,X.2,X.3,X.4,Response_X,Response_Y
東區,房地(土地+建物),臺中市東區練武路1~30號,101,都市：其他:第五種住宅區,,,1091001,土地1建物1車位0,全,四層,透天厝,商業用,鋼筋混凝土造,,222.2,17,1,17,有,無,17200000,77408,,0,0,其他增建,,RPSOMLTKIIPFFAB38DA,222.2,0,0,無,,,,,,218478.864,2670911.509
西區,房地(土地+建物),臺中市西區美村路一段421~450號,88,都市：其他:第二種住宅區,,,1090906,土地3建物1車位0,全,三層,透天厝,商業用,見其他登記事項,,161.28,7,2,5,有,無,27000000,167411,,0,0,其他增建,,RPUPMLSJRHPFFAB66DA,161.28,0,0,無,,,,,,215561.404,2669779.657
東區,房地(土地+建物),臺中市東區福立街31~60號,76,都市：其他:第二種住宅區,,,1090927,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,580507,119.55,5,2,3,有,無,9880000,82643,,0,0,其他增建,,RPXOMLOJJIPFFAB38DA,119.55,0,0,無,2165,,,,,218762.902,2670958.614
南區,房地(土地+建物),臺中市南區南門路91~120號,72,都市：其他:第二種住宅區,,,1091011,土地1建物1車位0,全,三層,透天厝,商業用,見其他登記事項,600917,198.67,3,2,2,有,無,19800000,99663,,0,0,,RPXPMLOJJIPFFAB48DA,198.67,0,0,無,,,,,,,217421.448,2668624.33
北屯區,房地(土地+建物),臺中市北屯區大鵬路1~30號,74,都市：其他:第二種商業區,,,1090619,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,611001,154,5,2,3,有,無,8100000,52597,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPVVMLPJJIPFFBB56EA,154,0,0,無,,,,,,216058.44,2674860.416
西屯區,房地(土地+建物),臺中市西屯區工業區一路2巷1~30號,13.8,都市：其他:第二種住宅區,,,1091021,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,801227,117.06,0,0,0,無,有,7000000,59798,,0,0,,RPUOMLOJJIPFFCB38EA,75.36,0,0,有,,,,,,,210789.378,2675249.784
北區,房地(土地+建物),臺中市北區中清路一段61~90號,17.74,都市：其他:第二種商業區,,,1090924,土地2建物2車位0,十二層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790416,203.68,1,1,1,有,有,10000000,49097,,0,0,,RPPNMLNJIIPFFBB37DA,135.85,0,0,有,,,,,,,216638.239,2674260.594
北屯區,房地(土地+建物),臺中市北屯區太原路三段139巷31~60號,13.8,都市：其他:第二種住宅區,,,1090908,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830228,86.77,0,0,0,無,有,7500000,86435,,0,0,,RPSVMLLLIIPFFBB48DA,61.59,8.95,0,有,,,,,,,218508.239,2673510.83
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.74,都市：其他:第二種住宅區,,,1090920,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,49.56,1,1,1,有,有,2550000,51453,,0,0,,RPWOMLQKIIPFFBB58DA,30.23,3.62,0,有,,,,,,,217624.958,2674567.754
西區,房地(土地+建物),臺中市西區公正路181~210號,96,都市：其他:第二種住宅區,,,1091006,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,571204,173.58,2,1,1,有,無,31200000,179744,,0,0,,RPUPMLTJJIPFFAB68DA,173.58,0,0,無,,,,,,,215199.954,2671558.282
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段51巷31~60號,6.46,都市：其他:第二種住宅區,,,1091101,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830330,36.89,0,0,0,無,有,2100000,56926,,0,0,夾層,,RPXRMLKKJIPFFBB48DA,24.57,2.68,0,有,,,,,,219080.658,2674420.512
中區,房地(土地+建物),臺中市中區三民路二段31~60號,0.42,都市：其他:第二種商業區,,,1091020,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,740521,31.35,1,1,1,有,有,1130000,36045,,0,0,,RPVNMLOJJIPFFAB08DA,21.64,3.69,0,有,,,,,,,217634.01,2671072.909
南區,房地(土地+建物),臺中市南區德富路61~90號,7.93,都市：其他:第二種住宅區,,,1091003,土地3建物1車位0,一層，騎樓,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,871219,57.33,6,0,1,有,有,5980000,104308,,0,0,,RPRRNLKKJIPFFAB87DA,47.04,0,0,有,,,,,,,215491.435,2667332.066
南區,房地(土地+建物),臺中市南區文心南路541~570號,24.03,都市：其他:第三種住宅區。,,,1091017,土地1建物1車位0,一層，騎樓,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,871015,59.29,0,0,0,無,有,6100000,102884,,0,0,,RPOOMLLKJIPFFAB27DA,50.31,0,0,有,,,,,,,215570.054,2667154.433
中區,房地(土地+建物),臺中市中區成功路31~60號,110,都市：其他:第一種商業區,,,1091029,土地4建物1車位0,全,二層,透天厝,商業用,磚造,361003,165.64,0,0,0,無,無,20900000,126177,,0,0,其他增建,,RPXOMLPJJIPFFAB48DA,165.64,0,0,無,,,,,,217165.608,2671252.572
南區,房地(土地+建物),臺中市南區大慶街一段130巷1~30號,17.71,都市：其他:第二種住宅區,,,1091019,土地1建物1車位0,一層，騎樓，地下層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810707,118.39,0,0,0,無,有,7700000,65039,,0,0,,RPUNMLMKJIPFFAB87DA,94.4,12.33,0,有,,,,,,,215170.978,2667809.652
龍井區,房地(土地+建物),臺中市龍井區藝術街61~90號,28.7,都市：其他:蝚砌?蝔桐?摰?,,,1091016,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,790820,96.59,0,0,0,無,無,7100000,73507,,0,0,陽台外推,,RPVNMLNJJIPFFKB98DA,75.53,6.42,0,無,,,,,,208256.769,2675997.009
西屯區,房地(土地+建物),臺中市西屯區青海路二段211~240號,2.56,都市：其他:第三種商業區,,,1091009,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,850509,31.4,1,1,1,有,有,1400000,44586,,0,0,,RPXTMLQKJIPFFCB76DA,16.7,2.8,0,有,,,,,,,212905.799,2674609.569
北屯區,房地(土地+建物),臺中市北屯區太原路三段139巷31~60號,15.05,都市：其他:第二種住宅區,,,1091007,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830228,86.92,0,0,0,無,有,5000000,57524,,0,0,,RPSOMLKKJIPFFBB67DA,67.5,5.18,0,有,,,,,,,218508.239,2673510.83
南區,房地(土地+建物),臺中市南區大慶街一段130巷1~30號,17.36,都市：其他:第二種住宅區,,,1091116,土地1建物1車位0,一層，騎樓，地下層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810707,119,0,0,0,無,有,7400000,62185,,0,0,,RPSSMLQKJIPFFAB58DA,95.83,10.2,0,有,,,,,,,215170.978,2667809.652
東區,房地(土地+建物),臺中市東區自由路三段241~270號,76,都市：其他:第二種住宅區,,,1091009,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,601230,104.16,4,2,2,有,無,14500000,139209,,0,0,其他增建,,RPUNMLSKJIPFFAB58EA,104.16,0,0,無,,,,,,219108.026,2670886.878
北屯區,房地(土地+建物),臺中市北屯區華美西街二段511~540號,59,都市：其他:第三之二種住宅區,,,1090906,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,620515,102.4,3,2,3,有,無,13500000,131836,,0,0,頂樓加蓋,,RPWQMLSKJIPFFBB56EA,102.4,0,0,無,,,,,,216444.13,2674565.142
大甲區,房地(土地+建物),臺中市大甲區工二路1~30號,148.55,,工業區,丁種建築用地,1090925,土地2建物2車位0,地下層,七層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,811101,462.06,4,2,3,有,無,6800000,14717,,0,0,,RPWNMLSKJIPFFEB56EA,432.36,29.7,0,無,,,,,,,215294.641,2699188.293
豐原區,房地(土地+建物),臺中市豐原區豐北街421~450號,59.87,都市：其他:市場用地,,,1091001,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,700106,153.6,4,2,3,有,無,10800000,70313,,0,0,,RPXNMLTKJIPFFDB56DA,153.6,0,0,無,,,,,,,220895.035,2683715.379
北區,房地(土地+建物),臺中市北區進化北路361~390號,5.52,都市：其他:第一種商業區,,,1091026,土地1建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,830207,68.24,2,1,1,有,有,4000000,58617,,0,0,含土地增值稅或其他稅費,含仲介費,含地政士服務費,,RPQQMLNKJIPFFBB97DA,52.42,0,0,有,2716,,,216987.619,2673142.666
西區,房地(土地+建物),臺中市西區建國路61~90號,172,都市：其他:第二種商業區,,,1091012,土地1建物1車位0,全,十層,透天厝,商業用,鋼筋混凝土造,660622,1325.61,30,4,32,有,無,66000000,49788,,0,0,頂樓加蓋,其他增建,含租約,,RPWRMLRKJIPFFAB98DA,1325.61,0,0,有,,,,217662.429,2670099.631
中區,房地(土地+建物),臺中市中區市府路1~30號,158,都市：其他:第一種商業區,,,1090909,土地3建物1車位0,全,二層,透天厝,商業用,木造,,152.06,0,0,0,無,無,23600000,155202,,0,0,未登記建物,,RPPNMLTKJIPFFAB08DA,138.84,13.22,0,無,,,,,,217761.867,2670772.705
北區,房地(土地+建物),臺中市北區中清路一段211~240號,61,都市：其他:第一種商業區,,,1091014,土地1建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,570530,183.14,3,2,3,有,無,17500000,95555,,0,0,,RPQNMLMKJIPFFBB57DA,183.14,0,0,無,2752,,,,,,216638.239,2674260.594
西屯區,房地(土地+建物),臺中市西屯區漢口路二段121~150號,41.42,都市：其他:第二種住宅區,,,1091010,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,780301,342.74,5,3,1,有,有,17100000,49892,,0,0,陽台外推,,RPXNMLSKJIPFFCB98DA,286.85,38.19,0,有,,,,,,215974.022,2673517.077
太平區,房地(土地+建物),臺中市太平區中興路91~120號,1.33,都市：其他:第一種住宅區,,,1090930,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,0.95,0,0,0,無,無,87500,0,,0,0,市場攤位,,RPTNMLKLJIPFFJB68EA,0,0,0,無,1792,,,,,220847.29,2668982.04
北區,房地(土地+建物),臺中市北區富強街121~150號,17.09,都市：其他:第二種住宅區,,,1091017,土地3建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,701231,110.58,1,1,1,有,無,4500000,40695,,0,0,,RPORMLTKIIPFFBB38DA,110.58,0,0,無,,,,,,,218984.266,2672608.822
北屯區,房地(土地+建物),臺中市北屯區松竹路二段337巷1~30號,33.86,都市：其他:第二種住宅區,,,1091024,土地1建物2車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820317,158.08,3,2,3,有,有,7980000,50481,,0,0,,RPURMLNLJIPFFBB58DA,77.68,9.44,0,有,,,,,,,218737.209,2675195.196
南區,房地(土地+建物),臺中市南區工學一街167巷1~30號,7.1,都市：其他:第三種住宅區。,,,1091010,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,870930,58.08,1,1,1,有,有,3800000,65427,,0,0,夾層,,RPWRMLPLJIPFFAB88DA,35.71,0,0,有,2957,,,,,215936.562,2667955.953
北區,房地(土地+建物),臺中市北區忠明路511~540號,87,都市：其他:第三種住宅區。,,,1091027,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,,126.65,2,3,3,有,無,15000000,118437,,0,0,頂樓加蓋,其他增建,,RPTRMLSKJIPFFBB88DA,126.65,0,0,無,,,,,216875.769,2673124.487
北屯區,房地(土地+建物),臺中市北屯區中清路二段961~990號,101,都市：其他:第二種商業區,,,1090730,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,620530,127.26,3,2,4,有,無,7200000,56577,,0,0,親友、員工、共有人或其他特殊關係間之交易,其他增建,,RPTNMLRLJIPFFBB58EA,127.26,0,0,無,,,,,215450.812,2676459.12
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.17,都市：其他:第二種住宅區,,,1091107,土地1建物1車位0,十二層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,43.58,1,1,1,有,有,2530000,58054,,0,0,,RPUOMLSJJIPFFBB58DA,26.46,3.29,0,有,,,,,,,217624.958,2674567.754
西區,房地(土地+建物),臺中市西區忠明南路1~30號,7.12,都市：其他:第二種商業區,,,1091013,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,820602,69.55,1,1,1,有,有,5000000,71891,,0,0,陽台外推,,RPQUMLPLJIPFFAB58DA,44.04,0,7.72,有,3054,,,,,215148.204,2671821.227
西區,房地(土地+建物),臺中市西區向上路一段181~210號,78,都市：其他:市場用地,,,1091022,土地2建物2車位0,全,二層,透天厝,商業用,見其他登記事項,620614,125.28,3,3,2,有,無,27000000,215517,,0,0,,RPUNMLKMJIPFFAB87DA,125.28,0,0,無,,,,,,,214571.807,2671299.322
北區,房地(土地+建物),臺中市北區衛道路193巷1~30號,46,都市：其他:第二種住宅區,,,1091118,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,,58.4,3,3,3,有,無,8400000,143836,,0,0,頂樓加蓋,未登記建物,,RPVPMLRLJIPFFBB88DA,58.4,0,0,無,3062,,,,217396.507,2672984.868
大里區,房地(土地+建物),臺中市大里區益民路一段121~150號,29.92,都市：其他:住宅區,,,1091026,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,681213,83.78,1,2,1,有,無,8500000,101456,,0,0,,RPQOMLTKJIPFFIB09DA,83.78,0,0,無,,,,,,,218467.63,2666814.939
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.35,都市：其他:第一種住宅區,,,1091020,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,800000,82474,,0,0,市場攤位,,RPQNMLKMJIPFFJB38DA,9.7,0,0,無,1792,,,,,220847.29,2668982.04
龍井區,房地(土地+建物),臺中市龍井區藝術街61~90號,54.43,都市：其他:蝚砌?蝔桐?摰?,,,1091024,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,790820,73.62,1,1,1,有,無,5360000,72806,,0,0,,RPPOMLKMJIPFFKB48DA,55,6.07,0,無,,,,,,,208256.769,2675997.009
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.25,都市：其他:第二種住宅區,,,1091112,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,44.07,1,1,1,有,有,2450000,55593,,0,0,,RPSNMLLJKIPFFBB67DA,26.46,3.51,0,有,,,,,,,217624.958,2674567.754
西區,房地(土地+建物),臺中市西區三民路一段121~150號,80,都市：其他:第一種商業區,,,1091028,土地2建物1車位0,全,四層,透天厝,商業用,見其他登記事項,630413,278.83,2,4,4,有,無,9000000,32278,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPUNNLKKJIPFFAB77DA,278.83,0,0,無,,,,,,217042.008,2670591.075
西區,房地(土地+建物),臺中市西區民興街151~180號,23.5,都市：其他:第二種住宅區,,,1091019,土地1建物1車位0,全,三層,透天厝,商業用,見其他登記事項,630913,50.49,6,3,3,有,無,2000000,39612,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPVNMLSLJIPFFAB68DA,100.98,0,0,無,3153,,,,,215807.402,2669668.947
西區,房地(土地+建物),臺中市西區民興街151~180號,23.5,都市：其他:第二種住宅區,,,1091019,土地1建物1車位0,全,三層,透天厝,商業用,見其他登記事項,630913,50.49,6,3,3,有,無,2750000,54466,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPXNMLSLJIPFFAB88DA,50.49,0,0,無,3153,,,,,215807.402,2669668.947
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.17,都市：其他:第二種住宅區,,,1091026,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,43.8,1,0,1,有,有,2550000,58219,,0,0,,RPTNMLSLJIPFFBB58DA,26.46,3.51,0,有,,,,,,,217624.958,2674567.754
北屯區,房地(土地+建物),臺中市北屯區進化北路21巷1~30號,9,都市：其他:第三種住宅區。,,,1091029,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,610919,18,1,1,1,有,無,1200000,66667,,0,0,親友、員工、共有人或其他特殊關係間之交易,,RPPSMLKMJIPFFBB97DA,18,0,0,無,,,,,,218670.421,2673042.268
北屯區,房地(土地+建物),臺中市北屯區梅川東路四段91~120號,4.94,都市：其他:第二種住宅區,,,1091111,土地1建物1車位0,十二層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,831222,52.58,1,0,1,有,有,2600000,49448,,0,0,,RPQNMLPLJIPFFBB97DA,31.47,4.72,0,有,,,,,,,217624.958,2674567.754
北區,房地(土地+建物),臺中市北區北屯路1~30號,3.42,都市：其他:第一種商業區,,,1091030,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,711211,38.41,1,0,1,有,有,1430000,37230,,0,0,,RPRPMLPLJIPFFBB28DA,27.66,2.77,0,有,3250,,,,,,218672.543,2672961.219
豐原區,房地(土地+建物),臺中市豐原區豐勢路一段1~30號,16.89,都市：其他:第二種商業區,,,1091104,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,860602,191.48,3,2,1,有,有,6800000,35513,,0,0,,RPVNMLNJKIPFFDB38DA,117.4,6.2,0,有,3295,,,,,,221941.299,2683179.72
北區,房地(土地+建物),臺中市北區太原路一段181~210號,12.5,都市：其他:第二種住宅區,,,1090725,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,800412,67.54,0,0,0,無,有,2100000,31093,,0,0,,RPXQOLQKJIPFFBB66EA,50.68,0,0,有,,,,,,,216818.739,2673309.566
北區,房地(土地+建物),臺中市北區英才路181~210號,91,都市：其他:第二種住宅區,,,1091105,土地2建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土加強磚造,630330,230.6,8,1,3,有,無,18600000,80659,,0,0,頂樓加蓋,,RPPPMLQJJIPFFBB97DA,230.6,0,0,無,,,,,,216217.31,2672127.45
